Index,Variant,Region,Notes,Country code,Year,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100+
0,Estimates,WORLD,,900,1950,"337,882,042","269,483,463","256,773,735","238,744,645","220,642,203","193,784,393","164,818,906","161,447,654","146,434,013","126,889,115","107,108,822","90,098,074","74,487,903","56,547,867","38290,21","22256,72","13,780,037",-,-,-,-
0,Estimates,WORLD,,900,1955,"399,396,699","314,555,171","264,593,488","252,440,981","232,730,899","214,642,688","187,967,223","158,324,839","154,625,152","137,962,078","118,771,202","96,225,001","79,572,416","61,579,756","42,776,945","25,154,463","16,080,298",-,-,-,-
0,Estimates,WORLD,,900,1960,"428985,8","375,474,921","309547,9","260,005,515","247215,77","226,896,528","209,084,033","182,025,268","152,056,918","147,363,945","130,088,045","108,714,338","84,758,592","66,614,158","47,429,458","28,724,254","18,826,121",-,-,-,-
0,Estimates,WORLD,,900,1965,"478,129,231","407,029,063","369,935,758","304,997,098","254,718,337","241985,96","221,371,558","203,679,312","176132,91","145,264,879","139156,02","120,431,218","96,793,222","71,315,339","52,241,193","32,545,864","22246,66",-,-,-,-
0,Estimates,WORLD,,900,1970,"520,132,469","458,395,006","402,204,329","365,417,301","299,400,926","249,645,785","237,124,654","216,092,553","198,180,988","169,992,136","138,186,126","129,918,777","108,782,729","83367,08","56,336,589","36,664,755","26745,96",-,-,-,-
0,Estimates,WORLD,,900,1975,"542092,61","502,135,585","453,335,638","397,339,339","359,817,188","295,290,345","245,144,541","232,725,292","210,859,745","192,423,701","163,200,718","129,637,139","118078,07","94,333,467","66,301,845","39,573,623","31,450,973",-,-,-,-
0,Estimates,WORLD,,900,1980,"540,080,214","523,699,575","497,193,303","448,227,799","391,969,212","354,936,138","291,820,089","239,790,248","228,376,967","204,357,455","185,195,971","154,294,005","118,407,145","102,404,054","77,015,158","48579,63","35,947,633",-,-,-,-
0,Estimates,WORLD,,900,1985,"581,955,385","522,551,577","519,582,202","493,914,323","443,760,331","387,652,316","350,607,594","287,421,899","234,912,633","221,497,957","196,228,086","174,831,945","141,466,576","103499,92","84,257,458","56,116,172","43,690,711",-,-,-,-
0,Estimates,WORLD,,900,1990,"625,813,209","566,909,671","519,906,432","514,729,419","487,227,021","438,147,807","383,535,887","346,068,303","282,144,966","229,187,819","213541,12","185,795,886","161,104,556","124,648,364","85,385,351","62,329,523","53,043,949",-,-,-,-
0,Estimates,WORLD,,900,1995,"621,140,593","610,562,504","563,199,623","516,082,066","507,854,047","480570,99","432,531,804","377,555,457","339557,48","275,447,143","221,632,907","202,733,916","171,720,445","142753,15","103,671,995","63,767,758","38,431,858","16,889,531","5,140,553","976,988","131,729"
