Index,Variant,Region,Notes,Country code,Year,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100+
0,Estimates,WORLD,,900,1950,"165,079,025","132434,68","125,525,728","116,591,362","108,741,605","97,102,999","82,439,299","81,410,869","73,704,409","63,956,306","54683,78","46,597,824","39,494,911","31,371,197","21,642,461","13,048,984","8,542,955",-,-,-,-
0,Estimates,WORLD,,900,1955,"195,677,813","153,436,107","129,842,187","123,492,701","114,006,435","106,021,361","94,340,189","79,390,291","78,415,971","70,090,686","60,932,068","50,315,698","42047,94","33,449,006","24,374,989","14,670,678","9,956,474",-,-,-,-
0,Estimates,WORLD,,900,1960,"210,011,098","183,567,482","150,924,118","127,604,541","121,241,915","111,249,154","103,325,471","91,576,391","76622,61","75,345,995","66,928,167","56,902,724","45,458,759","36,069,352","26,569,757","16,919,744","11,678,013",-,-,-,-
0,Estimates,WORLD,,900,1965,"233,715,042","198,716,012","180,632,621","148,797,461","125,268,554","118802,2","108,559,059","100,782,745","88,947,313","73,686,245","71,892,943","62,999,789","51,810,087","39,450,762","29,233,413","18,952,041","13,937,441",-,-,-,-
0,Estimates,WORLD,,900,1970,"254,165,126","223,611,911","196,102,433","178,527,198","146,649,593","122811,31","116,602,606","106,106,938","98339,15","86287,8","70,730,145","68,047,364","58,092,271","45,978,908","32,383,589","21,384,388","16,801,281",-,-,-,-
0,Estimates,WORLD,,900,1975,"264,880,839","244730,61","220,839,357","193,600,616","176,119,965","144,689,865","120615,88","114,631,528","103,717,092","95,865,831","83,584,108","67,237,511","62,964,612","51,828,793","37,893,446","23,781,172","19,898,917",-,-,-,-
0,Estimates,WORLD,,900,1980,"263903,17","255,471,576","242,326,283","218,554,431","191,152,621","173,824,154","143,297,795","118087,06","112,800,383","100,995,542","92,947,119","80,007,528","62,483,221","56,030,159","43,906,465","29,129,822","23,497,766",-,-,-,-
0,Estimates,WORLD,,900,1985,"284,129,366","255,085,083","253,470,686","240,834,316","216,756,513","189,448,268","171,957,837","141,409,241","116,098,671","110,127,312","97,933,631","88,954,833","74,733,537","56,110,301","47,867,569","33,545,339","28,539,513",-,-,-,-
0,Estimates,WORLD,,900,1990,"304,519,648","276,404,174","253,769,004","251,415,445","238715,9","214,849,259","187,602,037","169,949,553","139087,41","113,737,752","106,899,809","93,757,965","83,510,889","67,515,014","47,887,107","37,057,376","34,551,029",-,-,-,-
0,Estimates,WORLD,,900,1995,"302270,11","296,897,034","274681,05","252118,88","248,649,399","236,109,319","212,762,355","185,362,777","167,433,014","136553,16","110,953,587","102,881,407","88,347,665","76,065,131","58,224,237","37,436,572","24147,08","11,381,584","3,707,401","749,878","105,368"
0,Estimates,WORLD,,900,2000,"298928,19","295,347,982","295,265,154","273,377,735","250,015,101","246,126,033","233,389,322","209,962,431","182,486,378","164364,45","133,243,344","106,972,991","97,235,389","80,698,631","65,876,042","46449,94","25,790,027","13,678,474","4,822,127","1,058,382","146,168"
0,Estimates,WORLD,,900,2005,"300,745,976","292,421,313","293,579,324","293,966,862","271,407,434","247,101,499","242,485,276","229,761,072","206,454,662","179010,47","160,444,914","128,640,963","101,443,397","89,215,345","70,375,636","52,932,222","32,985,784","15,032,963","6,116,334","1493,37","215,922"
1,Estimates,More developed regions,a,901,1950,"39,892,945","33,598,165","35,914,031","33,627,461","35,999,436","33,761,593","26,998,686","31,786,904","29,863,316","26,303,115","23,196,665","19,690,055","17436,39","14,322,094","10,739,913","6,975,509","5,408,301",-,-,-,-
1,Estimates,More developed regions,a,901,1955,"42,381,976","39,649,213","33,695,495","35,804,586","33,515,159","35,783,186","33,622,228","26,674,367","31,449,138","28,934,556","26,063,048","22,184,697","18,617,818","15,762,551","11,932,571","7,973,389","6,340,767",-,-,-,-
1,Estimates,More developed regions,a,901,1960,"43,916,491","42,282,666","39,673,178","33559,13","35,687,876","33,295,199","35,572,085","33,356,263","26,395,424","30,952,171","28513,96","25,201,476","21,015,928","16,916,629","13,318,887","9,034,433","7,493,297",-,-,-,-
1,Estimates,More developed regions,a,901,1965,"43,645,048","43,859,444","42,320,215","39,768,601","33,749,419","35707,85","33,265,017","35,477,298","33,135,352","25,990,535","30,197,553","27,659,348","23,739,497","19,171,502","14,590,119","10,283,163","8,841,665",-,-,-,-
