Index,Variant,Region,Notes,Country code,Year,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100+
0,Estimates,WORLD,,900,1950,"172,803,017","137,048,783","131,248,007","122,153,283","111,900,598","96,681,394","82,379,607","80,036,785","72,729,604","62,932,809","52,425,042","43500,25","34,992,992","25176,67","16,647,749","9,207,736","5,237,082",-,-,-,-
0,Estimates,WORLD,,900,1955,"203,718,886","161,119,064","134,751,301","128948,28","118,724,464","108,621,327","93,627,034","78,934,548","76,209,181","67,871,392","57,839,134","45,909,303","37,524,476","28130,75","18,401,956","10,483,785","6,123,824",-,-,-,-
0,Estimates,WORLD,,900,1960,"218,974,702","191,907,439","158,623,782","132,400,974","125,973,855","115,647,374","105,758,562","90,448,877","75,434,308","72017,95","63,159,878","51,811,614","39,299,833","30,544,806","20,859,701","11804,51","7,148,108",-,-,-,-
0,Estimates,WORLD,,900,1965,"244,414,189","208,313,051","189,303,137","156,199,637","129,449,783","123183,76","112,812,499","102,896,567","87,185,597","71,578,634","67,263,077","57,431,429","44,983,135","31,864,577","23007,78","13,593,823","8,309,219",-,-,-,-
0,Estimates,WORLD,,900,1970,"265,967,343","234,783,095","206,101,896","186,890,103","152,751,333","126,834,475","120,522,048","109,985,615","99,841,838","83,704,336","67,455,981","61,871,413","50,690,458","37,388,172",23953,"15,280,367","9,944,679",-,-,-,-
0,Estimates,WORLD,,900,1975,"277,211,771","257,404,975","232,496,281","203,738,723","183,697,223","150600,48","124,528,661","118,093,764","107,142,653","96557,87","79616,61","62,399,628","55,113,458","42,504,674","28,408,399","15,792,451","11,552,056",-,-,-,-
0,Estimates,WORLD,,900,1980,"276,177,044","268,227,999","254867,02","229,673,368","200,816,591","181,111,984","148,522,294","121,703,188","115,576,584","103,361,913","92,248,852","74,286,477","55,923,924","46,373,895","33,108,693","19,449,808","12,449,867",-,-,-,-
0,Estimates,WORLD,,900,1985,"297,826,019","267,466,494","266,111,516","253,080,007","227,003,818","198,204,048","178,649,757","146,012,658","118,813,962","111,370,645","98,294,455","85,877,112","66,733,039","47,389,619","36,389,889","22,570,833","15,151,198",-,-,-,-
0,Estimates,WORLD,,900,1990,"321,293,561","290,505,497","266,137,428","263,313,974","248,511,121","223,298,548","195933,85","176118,75","143,057,556","115,450,067","106,641,311","92,037,921","77,593,667","57133,35","37,498,244","25,272,147","18492,92",-,-,-,-
0,Estimates,WORLD,,900,1995,"318,870,483","313665,47","288,518,573","263,963,186","259,204,648","244,461,671","219,769,449","192192,68","172,124,466","138,893,983","110679,32","99,852,509","83372,78","66,688,019","45,447,758","26,331,186","14,284,778","5,507,947","1,433,152","227,11","26,361"
0,Estimates,WORLD,,900,2000,"314,911,807","311,718,501","311,730,704","286,788,386","260,544,942","255,039,804","240,045,185","215,139,554","187377,23","166712,62","132,956,509","103,885,616","90,655,816","72,085,473","53,411,303","32,576,171","15,830,652","6,721,335","1,855,591","316,993","33,903"
0,Estimates,WORLD,,900,2005,"316,402,819","308,175,015","309,719,745","309,940,951","283,559,484","256,343,054","250,213,861","235,004,562","209,863,291","181699,68","160,069,604","125351,5","95,223,859","79,019,499","58,559,487","38968,88","20,226,083","7,717,591","2,374,846","435,508","49,552"
1,Estimates,More developed regions,a,901,1950,"41,663,178","34,625,964","36,620,155","34,043,441","34,708,072","29,431,553","23,497,716","27093,86","26,255,705","23,055,909","19,689,871","16,106,446","13,877,397","10,921,286","7,822,813","4,733,931","3,109,809",-,-,-,-
1,Estimates,More developed regions,a,901,1955,"44,429,076","41,343,852","34,670,096","36,217,793","33,373,328","34,334,196","29,202,309","23,105,132","26,668,147","25,226,098","22,350,215","18,176,166","14,548,113","11,771,177","8,441,669","5,323,537","3,654,404",-,-,-,-
1,Estimates,More developed regions,a,901,1960,"45,852,154","44,216,724","41,251,138","34,213,429","35,729,018","33,287,331","34,017,551","28,786,114","22,715,888","25,940,737","24,386,034","20,849,758","16,377,951","12,350,867","9,133,169","5,801,196","4,205,825",-,-,-,-
1,Estimates,More developed regions,a,901,1965,"45,692,543","45,732,535","44,227,655","41,115,011","33,915,755","35,811,065","33,331,346","33,839,329","28438,19","22,120,413","24,874,275","22,847,452","18,718,282","13,872,332","9,684,708","6,296,821","4,713,902",-,-,-,-
1,Estimates,More developed regions,a,901,1970,"42,311,832","45,658,714","45,903,913","43,970,985","40,317,411","33,931,603","35,623,436","32,969,192",33274,"27,754,819","21,247,121","23,291,441","20,607,166","16,017,129","10,853,071","6,683,649","5,322,222",-,-,-,-
1,Estimates,More developed regions,a,901,1975,"41,526,532","42,460,324","45,736,234","45,681,886","43,834,134","41,023,014","33,976,747","35304,87","32,512,111","32,401,101","26,674,274","19,955,902","21,176,246","17,664,972","12,484,473","7,454,721","5,857,699",-,-,-,-
1,Estimates,More developed regions,a,901,1980,"40,161,572","41,558,671","42,648,292","45,699,486","45,819,795","43,955,032","41,147,767","33,222,495","34929,6","31,526,399","31,228,622","25,313,557","18,248,141","18,006,289","14,163,473","8,976,609","6,772,714",-,-,-,-
1,Estimates,More developed regions,a,901,1985,"40,158,993","40,065,812","41,920,177","43,198,644","45,901,707","45,695,672","43,726,707","40,694,413","32,794,151","33,832,869","30,268,563","29,385,238","23,194,277","15,971,689","14,848,449","10,080,561","7,850,144",-,-,-,-
1,Estimates,More developed regions,a,901,1990,"39,965,179","40,254,843","40,447,636","42,301,034","43,040,719","45,789,727","45,809,989","43,605,506","40216,77","32295,36","32,783,003","28,745,647","27,131,397","20,528,844","13,446,677","10,970,748","9,487,667",-,-,-,-
1,Estimates,More developed regions,a,901,1995,"36,554,461","40,332,749","40844,78","41,176,197","42734,3","43,475,473","46,038,164","45532,84","42,973,373","39,403,197","31,330,008","30913,7","26,457,341","23,866,964","17,110,848","10,123,675","6871,85","3014,97","857,541","143,981","16,886"
1,Estimates,More developed regions,a,901,2000,"33,917,753","36,930,777","41,008,137","41860,18","41,734,843","43,139,853","43,759,209","45,797,251","44771,51","41,844,856","38,031,824","29,767,466","28,431,827","23,426,467","19,854,705","13,094,021","6,650,753","3,528,571","1,093,438","195,371","20,371"
1,Estimates,More developed regions,a,901,2005,"33,931,856","34223,2","37,401,391","41,778,136","42,611,695","42,324,193","43,500,013","43,726,663","45,285,874","43,869,104","40,541,972","36,193,025","27,853,289","25,283,951","19788,82","15,319,892","8,782,128","3,582,179","1,345,344","263,951","28,116"
2,Estimates,Less developed regions,b,902,1950,"131,139,839","102,422,819","94,627,852","88,109,842","77,192,526","67,249,841","58,881,891","52,942,925","46,473,899","39876,9","32,735,171","27,393,804","21,115,595","14,255,384","8,824,936","4,473,805","2,127,273",-,-,-,-
2,Estimates,Less developed regions,b,902,1955,"159289,81","119,775,212","100,081,205","92,730,487","85,351,136","74,287,131","64,424,725","55,829,416","49,541,034","42,645,294","35,488,919","27,733,137","22,976,363","16,359,573","9,960,287","5,160,248","2469,42",-,-,-,-
2,Estimates,Less developed regions,b,902,1960,"173,122,548","147,690,715","117,372,644","98,187,545","90,244,837","82,360,043","71,741,011","61,662,763","52718,42","46,077,213","38,773,844","30,961,856","22,921,882","18,193,939","11,726,532","6,003,314","2,942,283",-,-,-,-
2,Estimates,Less developed regions,b,902,1965,"198,721,646","162,580,516","145,075,482","115,084,626","95,534,028","87,372,695","79,481,153","69,057,238","58,747,407","49,458,221","42,388,802","34,583,977","26,264,853","17,992,245","13,323,072","7,297,002","3,595,317",-,-,-,-
2,Estimates,Less developed regions,b,902,1970,"223,655,511","189,124,381","160,197,983","142,919,118","112,433,922","92,902,872","84,898,612","77,016,423","66,567,838","55,949,517","46208,86","38,579,972","30,083,292","21,371,043","13,099,929","8,596,718","4,622,457",-,-,-,-
2,Estimates,Less developed regions,b,902,1975,"235,685,239","214,944,651","186,760,047","158,056,837","139,863,089","109,577,466","90,551,914","82,788,894","74,630,542","64,156,769","52,942,336","42,443,726","33,937,212","24,839,702","15,923,926","8337,73","5,694,357",-,-,-,-
2,Estimates,Less developed regions,b,902,1980,"236,015,472","226,669,328","212,218,728","183,973,882","154,996,796","137,156,952","107,374,527","88,480,693","80,646,984","71,835,514","61020,23","48972,92","37,675,783","28,367,606","18945,22","10,473,199","5,677,153",-,-,-,-
2,Estimates,Less developed regions,b,902,1985,"257,667,026","227,400,682","224,191,339","209,881,363","181,102,111","152,508,376","134923,05","105,318,245","86,019,811","77,537,776","68,025,892","56,491,874","43,538,762","31417,93","21541,44","12,490,272","7,301,054",-,-,-,-
