Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
0,0,1686316463825,1686316463827,1686316463827,1686316463832,0
2,1,1686316463825,1686316463832,1686316463832,1686316463832,0
1,0,1686316463825,1686316463832,1686316463832,1686316463835,0
5,0,1686316463825,1686316463837,1686316463837,1686316463837,0
3,3,1686316463825,1686316463833,1686316463833,1686316463838,0
4,1,1686316463825,1686316463837,1686316463837,1686316463842,0
7,1,1686316463825,1686316463842,1686316463842,1686316463842,0
6,2,1686316463825,1686316463841,1686316463841,1686316463845,0
8,2,1686316463825,1686316463847,1686316463847,1686316463848,0
10,3,1686316463825,1686316463850,1686316463850,1686316463851,0
9,2,1686316463825,1686316463848,1686316463848,1686316463853,0
11,2,1686316463825,1686316463852,1686316463853,1686316463854,0
12,1,1686316463825,1686316463855,1686316463855,1686316463858,0
13,2,1686316463825,1686316463859,1686316463859,1686316463864,0
15,1,1686316463825,1686316463861,1686316463861,1686316463864,0
14,2,1686316463825,1686316463859,1686316463864,1686316463867,0
16,0,1686316463825,1686316463863,1686316463863,1686316463868,0
18,2,1686316463825,1686316463868,1686316463868,1686316463868,0
19,3,1686316463825,1686316463868,1686316463868,1686316463872,0
17,0,1686316463825,1686316463865,1686316463868,1686316463872,0
21,1,1686316463825,1686316463872,1686316463872,1686316463874,0
22,0,1686316463825,1686316463875,1686316463875,1686316463875,0
20,3,1686316463825,1686316463869,1686316463872,1686316463875,0
23,2,1686316463825,1686316463876,1686316463876,1686316463880,0
24,3,1686316463825,1686316463879,1686316463879,1686316463880,0
25,2,1686316463825,1686316463883,1686316463883,1686316463886,0
27,3,1686316463825,1686316463887,1686316463887,1686316463887,0
26,0,1686316463825,1686316463887,1686316463887,1686316463891,0
28,1,1686316463825,1686316463891,1686316463891,1686316463897,0
29,0,1686316463825,1686316463894,1686316463894,1686316463899,0
30,1,1686316463825,1686316463898,1686316463898,1686316463900,0
31,0,1686316463825,1686316463902,1686316463902,1686316463905,0
33,2,1686316463825,1686316463909,1686316463909,1686316463909,0
32,0,1686316463825,1686316463905,1686316463905,1686316463911,0
34,2,1686316463825,1686316463913,1686316463913,1686316463914,0
35,2,1686316463825,1686316463917,1686316463917,1686316463920,0
36,1,1686316463825,1686316463920,1686316463920,1686316463920,0
37,2,1686316463825,1686316463921,1686316463921,1686316463923,0
38,0,1686316463825,1686316463925,1686316463925,1686316463925,0
39,1,1686316463825,1686316463926,1686316463926,1686316463929,0
40,0,1686316463825,1686316463929,1686316463929,1686316463933,0
41,3,1686316463825,1686316463933,1686316463933,1686316463933,0
42,2,1686316463825,1686316463933,1686316463933,1686316463935,0
43,3,1686316463825,1686316463937,1686316463937,1686316463937,0
44,3,1686316463825,1686316463937,1686316463937,1686316463940,0
45,0,1686316463825,1686316463941,1686316463941,1686316463943,0
46,2,1686316463825,1686316463942,1686316463942,1686316463947,0
47,2,1686316463825,1686316463944,1686316463947,1686316463947,0
48,0,1686316463825,1686316463945,1686316463945,1686316463947,0
49,0,1686316463825,1686316463945,1686316463947,1686316463947,0
50,1,1686316463825,1686316463948,1686316463948,1686316463949,0
51,3,1686316463825,1686316463949,1686316463949,1686316463953,0
52,0,1686316463825,1686316463953,1686316463953,1686316463954,0
