Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
0,0,1686272065144,1686272065147,1686272065147,1686272065147,0
1,0,1686272065144,1686272065153,1686272065153,1686272065158,0
2,0,1686272065144,1686272065156,1686272065158,1686272065161,0
4,0,1686272065144,1686272065162,1686272065162,1686272065162,0
5,0,1686272065144,1686272065167,1686272065167,1686272065169,0
6,0,1686272065144,1686272065167,1686272065169,1686272065171,0
7,0,1686272065144,1686272065177,1686272065177,1686272065180,0
8,0,1686272065144,1686272065192,1686272065192,1686272065194,0
9,0,1686272065144,1686272065192,1686272065195,1686272065195,0
10,0,1686272065144,1686272065202,1686272065202,1686272065209,0
11,0,1686272065144,1686272065211,1686272065211,1686272065222,0
12,0,1686272065144,1686272065222,1686272065222,1686272065228,0
13,0,1686272065144,1686272065231,1686272065231,1686272065236,0
14,0,1686272065144,1686272065233,1686272065236,1686272065239,0
15,0,1686272065144,1686272065240,1686272065240,1686272065242,0
16,0,1686272065144,1686272065246,1686272065246,1686272065246,0
17,0,1686272065144,1686272065251,1686272065251,1686272065253,0
18,0,1686272065144,1686272065260,1686272065260,1686272065263,0
19,0,1686272065144,1686272065269,1686272065269,1686272065269,0
20,0,1686272065144,1686272065279,1686272065279,1686272065280,0
21,0,1686272065144,1686272065287,1686272065287,1686272065289,0
22,0,1686272065144,1686272065290,1686272065290,1686272065290,0
23,0,1686272065144,1686272065295,1686272065295,1686272065297,0
24,0,1686272065144,1686272065297,1686272065297,1686272065302,0
25,0,1686272065144,1686272065302,1686272065302,1686272065302,0
26,0,1686272065144,1686272065307,1686272065307,1686272065312,0
27,0,1686272065144,1686272065310,1686272065312,1686272065317,0
28,0,1686272065144,1686272065316,1686272065317,1686272065322,0
31,0,1686272065144,1686272065318,1686272065322,1686272065325,0
32,0,1686272065144,1686272065324,1686272065325,1686272065325,0
33,0,1686272065144,1686272065330,1686272065330,1686272065334,0
34,0,1686272065144,1686272065330,1686272065334,1686272065336,0
35,0,1686272065144,1686272065337,1686272065337,1686272065340,0
36,0,1686272065144,1686272065343,1686272065343,1686272065343,0
37,0,1686272065144,1686272065350,1686272065350,1686272065355,0
38,0,1686272065144,1686272065355,1686272065355,1686272065355,0
39,0,1686272065144,1686272065365,1686272065365,1686272065367,0
40,0,1686272065144,1686272065368,1686272065368,1686272065369,0
41,0,1686272065144,1686272065369,1686272065369,1686272065369,0
42,0,1686272065144,1686272065373,1686272065373,1686272065377,0
43,0,1686272065144,1686272065381,1686272065381,1686272065381,0
44,0,1686272065144,1686272065390,1686272065390,1686272065395,0
45,0,1686272065144,1686272065396,1686272065396,1686272065399,0
46,0,1686272065144,1686272065400,1686272065400,1686272065405,0
47,0,1686272065144,1686272065405,1686272065405,1686272065408,0
48,0,1686272065144,1686272065412,1686272065412,1686272065412,0
49,0,1686272065144,1686272065418,1686272065418,1686272065423,0
50,0,1686272065144,1686272065428,1686272065428,1686272065434,0
51,0,1686272065144,1686272065435,1686272065435,1686272065440,0
52,0,1686272065144,1686272065440,1686272065440,1686272065440,0
53,0,1686272065144,1686272065442,1686272065442,1686272065442,0
54,0,1686272065144,1686272065449,1686272065449,1686272065450,0
55,0,1686272065144,1686272065459,1686272065459,1686272065460,0
56,0,1686272065144,1686272065469,1686272065469,1686272065473,0
57,0,1686272065144,1686272065472,1686272065473,1686272065476,0
59,0,1686272065144,1686272065473,1686272065476,1686272065481,0
60,0,1686272065144,1686272065479,1686272065481,1686272065483,0
61,0,1686272065144,1686272065482,1686272065483,1686272065488,0
62,0,1686272065144,1686272065488,1686272065488,1686272065488,0
64,0,1686272065144,1686272065491,1686272065491,1686272065492,0
65,0,1686272065144,1686272065493,1686272065493,1686272065497,0
66,0,1686272065144,1686272065499,1686272065499,1686272065503,0
67,0,1686272065144,1686272065508,1686272065508,1686272065512,0
68,0,1686272065144,1686272065514,1686272065514,1686272065516,0
69,0,1686272065144,1686272065518,1686272065518,1686272065524,0
70,0,1686272065144,1686272065525,1686272065525,1686272065530,0
71,0,1686272065144,1686272065531,1686272065531,1686272065531,0
72,0,1686272065144,1686272065536,1686272065536,1686272065539,0
73,0,1686272065144,1686272065545,1686272065545,1686272065547,0
74,0,1686272065144,1686272065547,1686272065547,1686272065548,0
75,0,1686272065144,1686272065552,1686272065552,1686272065557,0
76,0,1686272065144,1686272065552,1686272065557,1686272065558,0
77,0,1686272065144,1686272065556,1686272065558,1686272065561,1
78,0,1686272065144,1686272065563,1686272065563,1686272065566,0
79,0,1686272065144,1686272065563,1686272065566,1686272065571,0
