Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
0,1,1686267373378,1686267373381,1686267373381,1686267373383,0
1,3,1686267373378,1686267373387,1686267373387,1686267373391,0
3,0,1686267373378,1686267373392,1686267373392,1686267373392,0
2,3,1686267373378,1686267373391,1686267373391,1686267373394,0
4,3,1686267373378,1686267373395,1686267373395,1686267373398,0
5,0,1686267373378,1686267373402,1686267373402,1686267373405,0
7,1,1686267373378,1686267373406,1686267373406,1686267373406,0
6,0,1686267373378,1686267373405,1686267373406,1686267373407,0
8,0,1686267373378,1686267373409,1686267373409,1686267373411,0
10,2,1686267373378,1686267373415,1686267373415,1686267373416,0
9,0,1686267373378,1686267373411,1686267373411,1686267373416,0
11,1,1686267373378,1686267373418,1686267373418,1686267373420,0
12,2,1686267373378,1686267373418,1686267373418,1686267373421,0
13,2,1686267373378,1686267373424,1686267373424,1686267373429,0
14,2,1686267373378,1686267373425,1686267373429,1686267373430,0
15,1,1686267373378,1686267373428,1686267373429,1686267373430,0
16,0,1686267373378,1686267373430,1686267373430,1686267373433,0
17,0,1686267373378,1686267373431,1686267373433,1686267373437,0
18,1,1686267373378,1686267373437,1686267373437,1686267373438,0
19,0,1686267373378,1686267373441,1686267373441,1686267373443,0
20,2,1686267373378,1686267373450,1686267373450,1686267373451,0
21,0,1686267373378,1686267373457,1686267373457,1686267373462,0
22,2,1686267373378,1686267373459,1686267373459,1686267373463,0
23,2,1686267373378,1686267373467,1686267373467,1686267373468,0
24,1,1686267373378,1686267373475,1686267373475,1686267373476,0
25,0,1686267373378,1686267373479,1686267373479,1686267373483,0
27,0,1686267373378,1686267373487,1686267373487,1686267373487,0
26,2,1686267373378,1686267373487,1686267373487,1686267373487,0
28,2,1686267373378,1686267373492,1686267373492,1686267373495,0
29,0,1686267373378,1686267373495,1686267373495,1686267373497,0
30,1,1686267373378,1686267373503,1686267373503,1686267373506,0
31,3,1686267373378,1686267373511,1686267373511,1686267373515,0
32,3,1686267373378,1686267373514,1686267373515,1686267373519,0
33,0,1686267373378,1686267373519,1686267373519,1686267373521,0
35,2,1686267373378,1686267373528,1686267373528,1686267373528,0
