Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
0,3,1686286969702,1686286969709,1686286969709,1686286969714,0
1,3,1686286969702,1686286969719,1686286969719,1686286969721,0
2,3,1686286969702,1686286969725,1686286969725,1686286969730,0
3,0,1686286969702,1686286969735,1686286969735,1686286969738,0
4,3,1686286969702,1686286969739,1686286969739,1686286969741,0
5,0,1686286969702,1686286969742,1686286969742,1686286969747,0
6,0,1686286969702,1686286969743,1686286969748,1686286969748,0
7,3,1686286969702,1686286969753,1686286969753,1686286969755,0
8,0,1686286969702,1686286969757,1686286969757,1686286969763,0
9,3,1686286969702,1686286969763,1686286969763,1686286969766,0
10,1,1686286969702,1686286969766,1686286969766,1686286969766,0
11,1,1686286969702,1686286969771,1686286969771,1686286969772,0
12,3,1686286969702,1686286969771,1686286969771,1686286969772,0
13,2,1686286969702,1686286969774,1686286969774,1686286969774,0
14,1,1686286969702,1686286969782,1686286969782,1686286969784,0
15,0,1686286969702,1686286969782,1686286969782,1686286969787,0
17,1,1686286969702,1686286969784,1686286969784,1686286969788,0
16,0,1686286969702,1686286969784,1686286969787,1686286969789,0
18,3,1686286969702,1686286969789,1686286969789,1686286969795,0
19,3,1686286969702,1686286969799,1686286969799,1686286969799,0
20,1,1686286969702,1686286969801,1686286969801,1686286969806,0
21,3,1686286969702,1686286969804,1686286969804,1686286969806,0
22,3,1686286969702,1686286969804,1686286969806,1686286969810,0
23,0,1686286969702,1686286969810,1686286969810,1686286969813,0
24,0,1686286969702,1686286969812,1686286969813,1686286969818,0
25,0,1686286969702,1686286969814,1686286969818,1686286969821,0
26,0,1686286969702,1686286969821,1686286969821,1686286969826,0
27,1,1686286969702,1686286969826,1686286969826,1686286969829,0
28,3,1686286969702,1686286969829,1686286969829,1686286969835,0
29,0,1686286969702,1686286969837,1686286969837,1686286969843,0
30,1,1686286969702,1686286969843,1686286969843,1686286969849,0
32,1,1686286969702,1686286969854,1686286969854,1686286969854,0
31,3,1686286969702,1686286969853,1686286969853,1686286969857,0
33,1,1686286969702,1686286969858,1686286969858,1686286969860,0
35,3,1686286969702,1686286969869,1686286969869,1686286969870,0
34,2,1686286969702,1686286969868,1686286969868,1686286969873,0
36,0,1686286969702,1686286969874,1686286969874,1686286969874,0
37,0,1686286969702,1686286969878,1686286969878,1686286969881,0
39,3,1686286969702,1686286969882,1686286969882,1686286969884,0
38,0,1686286969702,1686286969882,1686286969882,1686286969887,0
40,0,1686286969702,1686286969889,1686286969889,1686286969894,0
41,2,1686286969702,1686286969896,1686286969896,1686286969898,0
42,3,1686286969702,1686286969902,1686286969902,1686286969905,0
43,1,1686286969702,1686286969909,1686286969909,1686286969910,0
44,2,1686286969702,1686286969917,1686286969917,1686286969920,0
45,2,1686286969702,1686286969922,1686286969922,1686286969922,0
46,0,1686286969702,1686286969932,1686286969932,1686286969934,0
47,2,1686286969702,1686286969941,1686286969941,1686286969943,0
48,2,1686286969702,1686286969950,1686286969950,1686286969955,0
49,1,1686286969702,1686286969955,1686286969955,1686286969955,0
50,2,1686286969702,1686286969955,1686286969955,1686286969956,0
52,0,1686286969702,1686286969962,1686286969962,1686286969962,0
51,1,1686286969702,1686286969959,1686286969959,1686286969964,0
53,3,1686286969702,1686286969962,1686286969962,1686286969965,0
54,2,1686286969702,1686286969968,1686286969968,1686286969973,0
55,0,1686286969702,1686286969975,1686286969975,1686286969975,0
56,2,1686286969702,1686286969977,1686286969977,1686286969981,0
57,1,1686286969702,1686286969986,1686286969986,1686286969992,0
58,1,1686286969702,1686286969992,1686286969992,1686286969996,0
60,3,1686286969702,1686286969996,1686286969996,1686286969996,0
59,1,1686286969702,1686286969996,1686286969996,1686286969999,0
61,2,1686286969702,1686286970004,1686286970004,1686286970006,0
62,0,1686286969702,1686286970011,1686286970011,1686286970011,0
63,3,1686286969702,1686286970012,1686286970012,1686286970014,0
