Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
1,0,1686213566591,1686213566596,1686213566596,1686213566624,0
9,4,1686213566591,1686213566606,1686213566606,1686213566637,0
21,8,1686213566591,1686213566624,1686213566624,1686213566663,0
13,6,1686213566591,1686213566611,1686213566611,1686213566664,0
12,5,1686213566591,1686213566611,1686213566611,1686213566666,0
0,3,1686213566591,1686213566593,1686213566593,1686213566671,0
16,7,1686213566591,1686213566619,1686213566619,1686213566672,0
4,2,1686213566591,1686213566601,1686213566601,1686213566688,0
24,9,1686213566591,1686213566627,1686213566627,1686213566689,0
5,2,1686213566591,1686213566601,1686213566688,1686213566690,0
2,1,1686213566591,1686213566597,1686213566597,1686213566696,0
15,6,1686213566591,1686213566615,1686213566664,1686213566701,0
20,6,1686213566591,1686213566623,1686213566701,1686213566713,1
10,4,1686213566591,1686213566610,1686213566637,1686213566714,0
3,0,1686213566591,1686213566598,1686213566624,1686213566723,0
14,5,1686213566591,1686213566613,1686213566666,1686213566729,0
35,6,1686213566591,1686213566643,1686213566713,1686213566738,2
7,3,1686213566591,1686213566604,1686213566672,1686213566742,0
22,8,1686213566591,1686213566626,1686213566663,1686213566754,0
27,8,1686213566591,1686213566629,1686213566754,1686213566769,1
19,5,1686213566591,1686213566622,1686213566729,1686213566771,1
17,7,1686213566591,1686213566621,1686213566672,1686213566771,0
8,3,1686213566591,1686213566604,1686213566742,1686213566772,1
41,8,1686213566591,1686213566658,1686213566769,1686213566777,2
6,1,1686213566591,1686213566603,1686213566696,1686213566777,0
25,9,1686213566591,1686213566629,1686213566689,1686213566780,0
43,6,1686213566591,1686213566661,1686213566738,1686213566783,3
23,2,1686213566591,1686213566626,1686213566690,1686213566788,1
38,5,1686213566591,1686213566649,1686213566771,1686213566808,2
30,4,1686213566591,1686213566636,1686213566714,1686213566808,1
11,0,1686213566591,1686213566610,1686213566723,1686213566810,1
18,7,1686213566591,1686213566621,1686213566771,1686213566821,1
32,4,1686213566591,1686213566638,1686213566808,1686213566828,1
36,3,1686213566591,1686213566646,1686213566772,1686213566841,2
50,3,1686213566591,1686213566672,1686213566841,1686213566847,2
45,8,1686213566591,1686213566664,1686213566778,1686213566850,2
31,2,1686213566591,1686213566636,1686213566789,1686213566851,2
29,1,1686213566591,1686213566636,1686213566778,1686213566867,1
26,9,1686213566591,1686213566629,1686213566780,1686213566871,1
47,5,1686213566591,1686213566669,1686213566808,1686213566877,2
54,6,1686213566591,1686213566680,1686213566783,1686213566879,3
28,0,1686213566591,1686213566633,1686213566810,1686213566888,1
40,7,1686213566591,1686213566654,1686213566821,1686213566902,2
37,4,1686213566591,1686213566647,1686213566828,1686213566905,2
39,9,1686213566591,1686213566652,1686213566871,1686213566909,2
55,8,1686213566591,1686213566680,1686213566850,1686213566912,3
46,4,1686213566591,1686213566665,1686213566905,1686213566915,3
42,2,1686213566591,1686213566658,1686213566851,1686213566922,3
52,3,1686213566591,1686213566676,1686213566847,1686213566932,3
53,5,1686213566591,1686213566678,1686213566877,1686213566945,3
34,1,1686213566591,1686213566643,1686213566867,1686213566945,2
48,1,1686213566591,1686213566670,1686213566945,1686213566945,3
64,1,1686213566591,1686213566697,1686213566945,1686213566949,3
33,0,1686213566591,1686213566639,1686213566888,1686213566950,2
62,5,1686213566591,1686213566692,1686213566945,1686213566958,4
58,6,1686213566591,1686213566685,1686213566880,1686213566964,4
44,9,1686213566591,1686213566662,1686213566909,1686213566966,3
51,7,1686213566591,1686213566674,1686213566902,1686213566972,2
60,2,1686213566591,1686213566689,1686213566922,1686213566992,3
65,4,1686213566591,1686213566697,1686213566915,1686213566994,4
59,8,1686213566591,1686213566688,1686213566912,1686213567003,4
82,5,1686213566591,1686213566731,1686213566958,1686213567005,4
57,9,1686213566591,1686213566685,1686213566966,1686213567008,4
74,4,1686213566591,1686213566715,1686213566994,1686213567012,4
69,6,1686213566591,1686213566706,1686213566964,1686213567021,4
70,3,1686213566591,1686213566706,1686213566932,1686213567026,4
66,1,1686213566591,1686213566698,1686213566949,1686213567027,4
49,0,1686213566591,1686213566671,1686213566950,1686213567031,3
84,4,1686213566591,1686213566737,1686213567012,1686213567036,5
61,2,1686213566591,1686213566692,1686213566992,1686213567041,3
85,5,1686213566591,1686213566737,1686213567005,1686213567047,5
73,6,1686213566591,1686213566713,1686213567021,1686213567047,4
63,0,1686213566591,1686213566694,1686213567031,1686213567051,4
56,7,1686213566591,1686213566682,1686213566972,1686213567054,3
71,9,1686213566591,1686213566710,1686213567008,1686213567061,4
81,1,1686213566591,1686213566728,1686213567027,1686213567061,5
68,7,1686213566591,1686213566704,1686213567054,1686213567064,4
67,2,1686213566591,1686213566701,1686213567041,1686213567079,4
95,4,1686213566591,1686213566758,1686213567037,1686213567092,6
79,8,1686213566591,1686213566723,1686213567003,1686213567094,5
75,9,1686213566591,1686213566718,1686213567061,1686213567098,5
77,2,1686213566591,1686213566721,1686213567079,1686213567098,5
83,3,1686213566591,1686213566735,1686213567026,1686213567098,5
89,1,1686213566591,1686213566747,1686213567061,1686213567107,6
78,0,1686213566591,1686213566722,1686213567051,1686213567112,5
72,7,1686213566591,1686213566712,1686213567064,1686213567114,5
90,9,1686213566591,1686213566748,1686213567098,1686213567119,6
96,5,1686213566591,1686213566761,1686213567047,1686213567121,6
76,6,1686213566591,1686213566719,1686213567047,1686213567125,5
109,4,1686213566591,1686213566782,1686213567092,1686213567135,7
103,9,1686213566591,1686213566769,1686213567119,1686213567180,7
86,6,1686213566591,1686213566740,1686213567126,1686213567185,5
107,1,1686213566591,1686213566777,1686213567107,1686213567190,7
93,8,1686213566591,1686213566756,1686213567094,1686213567190,5
87,3,1686213566591,1686213566743,1686213567099,1686213567191,5
80,0,1686213566591,1686213566724,1686213567112,1686213567191,5
91,2,1686213566591,1686213566749,1686213567098,1686213567194,6
97,7,1686213566591,1686213566761,1686213567114,1686213567204,6
122,4,1686213566591,1686213566808,1686213567135,1686213567204,7
94,3,1686213566591,1686213566758,1686213567191,1686213567205,6
102,5,1686213566591,1686213566768,1686213567122,1686213567210,7
104,3,1686213566591,1686213566769,1686213567205,1686213567213,7
128,4,1686213566591,1686213566818,1686213567204,1686213567221,8
106,2,1686213566591,1686213566773,1686213567195,1686213567226,7
114,3,1686213566591,1686213566793,1686213567213,1686213567239,7
88,6,1686213566591,1686213566747,1686213567185,1686213567239,6
92,0,1686213566591,1686213566752,1686213567191,1686213567243,6
111,1,1686213566591,1686213566785,1686213567190,1686213567265,7
115,5,1686213566591,1686213566793,1686213567210,1686213567267,7
98,8,1686213566591,1686213566765,1686213567190,1686213567269,6
