Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
10,3,1686213905174,1686213905191,1686213905191,1686213905191,0
8,2,1686213905174,1686213905189,1686213905189,1686213905195,0
2,1,1686213905174,1686213905177,1686213905177,1686213905224,0
11,3,1686213905174,1686213905194,1686213905194,1686213905240,0
18,6,1686213905174,1686213905207,1686213905207,1686213905243,0
3,1,1686213905174,1686213905179,1686213905224,1686213905246,0
19,6,1686213905174,1686213905209,1686213905243,1686213905254,0
24,8,1686213905174,1686213905223,1686213905223,1686213905260,0
0,0,1686213905174,1686213905174,1686213905174,1686213905265,0
25,8,1686213905174,1686213905224,1686213905260,1686213905278,0
14,4,1686213905174,1686213905198,1686213905198,1686213905279,0
9,2,1686213905174,1686213905189,1686213905195,1686213905280,1
15,5,1686213905174,1686213905198,1686213905198,1686213905280,0
32,6,1686213905174,1686213905238,1686213905254,1686213905283,1
20,7,1686213905174,1686213905213,1686213905213,1686213905291,0
13,2,1686213905174,1686213905195,1686213905280,1686213905294,1
5,1,1686213905174,1686213905183,1686213905246,1686213905306,1
26,9,1686213905174,1686213905227,1686213905227,1686213905306,0
23,2,1686213905174,1686213905222,1686213905294,1686213905307,1
28,8,1686213905174,1686213905228,1686213905278,1686213905311,1
44,8,1686213905174,1686213905261,1686213905312,1686213905319,1
16,4,1686213905174,1686213905201,1686213905279,1686213905319,0
34,6,1686213905174,1686213905244,1686213905283,1686213905321,1
12,3,1686213905174,1686213905194,1686213905240,1686213905328,0
22,4,1686213905174,1686213905219,1686213905319,1686213905333,1
17,5,1686213905174,1686213905203,1686213905280,1686213905339,0
7,1,1686213905174,1686213905188,1686213905306,1686213905343,2
1,0,1686213905174,1686213905176,1686213905265,1686213905344,0
31,3,1686213905174,1686213905235,1686213905328,1686213905345,1
27,9,1686213905174,1686213905228,1686213905307,1686213905346,0
29,9,1686213905174,1686213905232,1686213905346,1686213905349,1
21,7,1686213905174,1686213905216,1686213905291,1686213905354,0
48,8,1686213905174,1686213905267,1686213905319,1686213905372,2
33,3,1686213905174,1686213905241,1686213905345,1686213905374,1
39,2,1686213905174,1686213905254,1686213905307,1686213905376,2
43,4,1686213905174,1686213905259,1686213905333,1686213905378,2
35,7,1686213905174,1686213905247,1686213905354,1686213905379,1
4,0,1686213905174,1686213905180,1686213905344,1686213905381,1
42,3,1686213905174,1686213905258,1686213905374,1686213905381,2
40,6,1686213905174,1686213905256,1686213905321,1686213905387,1
45,6,1686213905174,1686213905261,1686213905387,1686213905397,2
41,9,1686213905174,1686213905256,1686213905349,1686213905399,2
53,2,1686213905174,1686213905277,1686213905376,1686213905402,3
54,8,1686213905174,1686213905279,1686213905372,1686213905421,2
46,7,1686213905174,1686213905264,1686213905379,1686213905421,2
6,0,1686213905174,1686213905186,1686213905381,1686213905424,2
60,7,1686213905174,1686213905291,1686213905421,1686213905425,2
52,9,1686213905174,1686213905274,1686213905399,1686213905432,3
50,4,1686213905174,1686213905269,1686213905378,1686213905432,3
36,1,1686213905174,1686213905250,1686213905343,1686213905432,1
30,5,1686213905174,1686213905232,1686213905339,1686213905435,1
59,2,1686213905174,1686213905289,1686213905402,1686213905439,3
66,9,1686213905174,1686213905304,1686213905432,1686213905443,4
83,9,1686213905174,1686213905332,1686213905443,1686213905444,4
63,2,1686213905174,1686213905296,1686213905439,1686213905458,3
38,1,1686213905174,1686213905254,1686213905432,1686213905464,2
58,3,1686213905174,1686213905288,1686213905381,1686213905470,3
62,7,1686213905174,1686213905294,1686213905425,1686213905479,3
56,6,1686213905174,1686213905284,1686213905397,1686213905485,2
