Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
4,1,1686210735091,1686210735103,1686210735103,1686210735136,0
6,1,1686210735091,1686210735106,1686210735136,1686210735160,0
0,0,1686210735091,1686210735093,1686210735093,1686210735175,0
1,2,1686210735091,1686210735097,1686210735097,1686210735188,0
2,3,1686210735091,1686210735097,1686210735097,1686210735188,0
10,1,1686210735091,1686210735112,1686210735160,1686210735228,1
12,1,1686210735091,1686210735116,1686210735228,1686210735229,2
5,0,1686210735091,1686210735106,1686210735176,1686210735230,0
9,0,1686210735091,1686210735110,1686210735230,1686210735240,1
3,2,1686210735091,1686210735100,1686210735200,1686210735241,0
11,2,1686210735091,1686210735112,1686210735241,1686210735277,1
13,0,1686210735091,1686210735119,1686210735240,1686210735280,2
15,2,1686210735091,1686210735126,1686210735277,1686210735283,2
7,3,1686210735091,1686210735107,1686210735200,1686210735292,0
8,3,1686210735091,1686210735107,1686210735292,1686210735300,1
16,1,1686210735091,1686210735126,1686210735229,1686210735316,3
21,1,1686210735091,1686210735136,1686210735317,1686210735331,3
19,2,1686210735091,1686210735133,1686210735283,1686210735356,3
22,1,1686210735091,1686210735139,1686210735331,1686210735357,4
27,1,1686210735091,1686210735149,1686210735357,1686210735362,5
18,0,1686210735091,1686210735129,1686210735280,1686210735379,3
14,3,1686210735091,1686210735123,1686210735301,1686210735385,2
29,1,1686210735091,1686210735149,1686210735362,1686210735407,6
34,1,1686210735091,1686210735153,1686210735407,1686210735412,7
24,2,1686210735091,1686210735146,1686210735356,1686210735442,4
20,0,1686210735091,1686210735134,1686210735379,1686210735456,4
17,3,1686210735091,1686210735126,1686210735385,1686210735473,3
25,0,1686210735091,1686210735146,1686210735456,1686210735477,5
26,2,1686210735091,1686210735149,1686210735442,1686210735485,5
32,2,1686210735091,1686210735151,1686210735485,1686210735497,6
37,1,1686210735091,1686210735157,1686210735412,1686210735503,8
30,0,1686210735091,1686210735151,1686210735477,1686210735532,6
35,2,1686210735091,1686210735154,1686210735497,1686210735542,7
23,3,1686210735091,1686210735143,1686210735473,1686210735546,4
40,2,1686210735091,1686210735160,1686210735542,1686210735578,8
33,0,1686210735091,1686210735151,1686210735532,1686210735587,7
28,3,1686210735091,1686210735149,1686210735546,1686210735601,5
41,1,1686210735091,1686210735162,1686210735503,1686210735601,8
31,3,1686210735091,1686210735151,1686210735601,1686210735629,6
45,1,1686210735091,1686210735173,1686210735601,1686210735633,9
36,3,1686210735091,1686210735155,1686210735629,1686210735634,7
39,0,1686210735091,1686210735158,1686210735588,1686210735635,8
44,2,1686210735091,1686210735170,1686210735578,1686210735677,9
42,0,1686210735091,1686210735164,1686210735635,1686210735679,9
38,3,1686210735091,1686210735157,1686210735634,1686210735689,8
48,0,1686210735091,1686210735175,1686210735679,1686210735703,10
50,0,1686210735091,1686210735177,1686210735704,1686210735718,10
47,1,1686210735091,1686210735173,1686210735633,1686210735722,10
51,0,1686210735091,1686210735178,1686210735718,1686210735738,11
49,2,1686210735091,1686210735175,1686210735677,1686210735746,10
53,1,1686210735091,1686210735181,1686210735723,1686210735747,11
43,3,1686210735091,1686210735167,1686210735689,1686210735749,9
46,3,1686210735091,1686210735173,1686210735749,1686210735751,10
56,0,1686210735091,1686210735187,1686210735738,1686210735774,12
55,1,1686210735091,1686210735186,1686210735747,1686210735811,12
54,3,1686210735091,1686210735182,1686210735751,1686210735814,11
60,1,1686210735091,1686210735196,1686210735811,1686210735814,13
52,2,1686210735091,1686210735179,1686210735746,1686210735817,11
61,0,1686210735091,1686210735198,1686210735774,1686210735839,13
57,2,1686210735091,1686210735189,1686210735817,1686210735862,12
67,0,1686210735091,1686210735209,1686210735839,1686210735895,14
58,3,1686210735091,1686210735189,1686210735814,1686210735900,12
65,1,1686210735091,1686210735204,1686210735814,1686210735902,14
62,3,1686210735091,1686210735199,1686210735900,1686210735944,13
59,2,1686210735091,1686210735192,1686210735862,1686210735952,13
70,1,1686210735091,1686210735216,1686210735902,1686210735955,15
71,0,1686210735091,1686210735216,1686210735896,1686210735966,15
74,0,1686210735091,1686210735218,1686210735966,1686210736033,16
63,3,1686210735091,1686210735199,1686210735944,1686210736035,14
73,1,1686210735091,1686210735217,1686210735955,1686210736048,16
64,2,1686210735091,1686210735201,1686210735952,1686210736048,13
66,2,1686210735091,1686210735207,1686210736048,1686210736061,14
77,1,1686210735091,1686210735223,1686210736048,1686210736087,17
68,3,1686210735091,1686210735209,1686210736035,1686210736100,14
78,0,1686210735091,1686210735224,1686210736033,1686210736104,17
69,3,1686210735091,1686210735213,1686210736100,1686210736140,15
72,2,1686210735091,1686210735216,1686210736061,1686210736149,15
81,1,1686210735091,1686210735228,1686210736087,1686210736153,17
76,3,1686210735091,1686210735222,1686210736141,1686210736162,16
82,0,1686210735091,1686210735228,1686210736104,1686210736187,18
75,2,1686210735091,1686210735218,1686210736160,1686210736221,16
79,3,1686210735091,1686210735225,1686210736179,1686210736231,17
85,0,1686210735091,1686210735234,1686210736198,1686210736244,18
84,3,1686210735091,1686210735233,1686210736231,1686210736244,18
83,1,1686210735091,1686210735232,1686210736160,1686210736245,17
93,3,1686210735091,1686210735246,1686210736244,1686210736271,19
80,2,1686210735091,1686210735226,1686210736221,1686210736317,17
86,1,1686210735091,1686210735235,1686210736245,1686210736317,18
88,0,1686210735091,1686210735236,1686210736244,1686210736343,19
94,3,1686210735091,1686210735246,1686210736284,1686210736372,20
