Customer,Cashier,Created,ArrivedQueue,ArrivedCashier,Left,PeopleBefore
0,0,1686207763563,1686207763563,1686207763563,1686207763659,0
1,0,1686207763563,1686207763563,1686207763659,1686207763759,0
2,0,1686207763563,1686207763563,1686207763759,1686207763792,1
3,0,1686207763563,1686207763565,1686207763792,1686207763870,2
4,0,1686207763563,1686207763566,1686207763870,1686207763935,3
5,0,1686207763563,1686207763570,1686207763935,1686207763978,4
6,0,1686207763563,1686207763573,1686207763978,1686207764049,5
7,0,1686207763563,1686207763576,1686207764049,1686207764135,6
8,0,1686207763563,1686207763576,1686207764136,1686207764187,7
9,0,1686207763563,1686207763577,1686207764187,1686207764245,8
10,0,1686207763563,1686207763581,1686207764245,1686207764284,9
11,0,1686207763563,1686207763583,1686207764284,1686207764382,10
12,0,1686207763563,1686207763583,1686207764382,1686207764399,11
13,0,1686207763563,1686207763585,1686207764399,1686207764415,12
14,0,1686207763563,1686207763588,1686207764415,1686207764486,13
15,0,1686207763563,1686207763591,1686207764487,1686207764544,14
16,0,1686207763563,1686207763595,1686207764544,1686207764638,15
17,0,1686207763563,1686207763595,1686207764638,1686207764687,16
18,0,1686207763563,1686207763598,1686207764687,1686207764729,17
19,0,1686207763563,1686207763601,1686207764730,1686207764736,18
20,0,1686207763563,1686207763601,1686207764736,1686207764763,19
21,0,1686207763563,1686207763604,1686207764763,1686207764819,20
22,0,1686207763563,1686207763607,1686207764819,1686207764898,21
23,0,1686207763563,1686207763608,1686207764898,1686207764967,22
24,0,1686207763563,1686207763610,1686207764967,1686207765016,23
25,0,1686207763563,1686207763614,1686207765017,1686207765023,24
26,0,1686207763563,1686207763614,1686207765023,1686207765037,25
27,0,1686207763563,1686207763617,1686207765037,1686207765087,26
28,0,1686207763563,1686207763617,1686207765087,1686207765161,27
29,0,1686207763563,1686207763618,1686207765162,1686207765241,28
30,0,1686207763563,1686207763622,1686207765241,1686207765329,29
31,0,1686207763563,1686207763624,1686207765329,1686207765359,30
32,0,1686207763563,1686207763626,1686207765359,1686207765444,31
33,0,1686207763563,1686207763630,1686207765444,1686207765534,32
34,0,1686207763563,1686207763633,1686207765534,1686207765569,33
35,0,1686207763563,1686207763637,1686207765569,1686207765591,34
36,0,1686207763563,1686207763638,1686207765591,1686207765643,35
37,0,1686207763563,1686207763640,1686207765643,1686207765713,36
38,0,1686207763563,1686207763642,1686207765713,1686207765729,37
39,0,1686207763563,1686207763646,1686207765729,1686207765792,38
40,0,1686207763563,1686207763649,1686207765793,1686207765842,39
41,0,1686207763563,1686207763649,1686207765842,1686207765908,40
42,0,1686207763563,1686207763649,1686207765908,1686207765952,41
43,0,1686207763563,1686207763649,1686207765952,1686207766016,42
44,0,1686207763563,1686207763653,1686207766017,1686207766107,43
45,0,1686207763563,1686207763653,1686207766107,1686207766147,44
