Id;Interarrival Time;Arrival Time;Service Time;Time Service Begins;Waiting time in Queue;Time Service Ends;Time Customer Spends in System;Idle time of Server
0;0;0.0;3;0.0;0.0;3.0;3.0;0.0
1;6.0;6.0;3;6.0;0.0;9.0;3.0;3.0
2;4.0;10.0;1;10.0;0.0;11.0;1.0;1.0
3;4.0;14.0;3;14.0;0.0;17.0;3.0;3.0
4;2.0;16.0;3;17.0;1.0;20.0;4.0;0.0
5;7.0;23.0;3;23.0;0.0;26.0;3.0;3.0
6;5.0;28.0;1;28.0;0.0;29.0;1.0;2.0
7;8.0;36.0;2;36.0;0.0;38.0;2.0;7.0
8;6.0;42.0;2;42.0;0.0;44.0;2.0;4.0
9;5.0;47.0;2;47.0;0.0;49.0;2.0;3.0
10;4.0;51.0;3;51.0;0.0;54.0;3.0;2.0
11;1.0;52.0;2;54.0;2.0;56.0;4.0;0.0
12;4.0;56.0;1;56.0;0.0;57.0;1.0;0.0
13;7.0;63.0;3;63.0;0.0;66.0;3.0;6.0
14;8.0;71.0;1;71.0;0.0;72.0;1.0;5.0
15;7.0;78.0;2;78.0;0.0;80.0;2.0;6.0
16;7.0;85.0;3;85.0;0.0;88.0;3.0;5.0
17;7.0;92.0;3;92.0;0.0;95.0;3.0;4.0
18;2.0;94.0;2;95.0;1.0;97.0;3.0;0.0
19;8.0;102.0;3;102.0;0.0;105.0;3.0;5.0
20;5.0;107.0;2;107.0;0.0;109.0;2.0;2.0
21;5.0;112.0;2;112.0;0.0;114.0;2.0;3.0
22;3.0;115.0;2;115.0;0.0;117.0;2.0;1.0
23;3.0;118.0;1;118.0;0.0;119.0;1.0;1.0
24;4.0;122.0;3;122.0;0.0;125.0;3.0;3.0
25;8.0;130.0;3;130.0;0.0;133.0;3.0;5.0
26;2.0;132.0;1;133.0;1.0;134.0;2.0;0.0
27;4.0;136.0;3;136.0;0.0;139.0;3.0;2.0
28;8.0;144.0;3;144.0;0.0;147.0;3.0;5.0
29;1.0;145.0;1;147.0;2.0;148.0;3.0;0.0
30;6.0;151.0;3;151.0;0.0;154.0;3.0;3.0
31;6.0;157.0;3;157.0;0.0;160.0;3.0;3.0
32;3.0;160.0;1;160.0;0.0;161.0;1.0;0.0
33;2.0;162.0;1;162.0;0.0;163.0;1.0;1.0
34;4.0;166.0;3;166.0;0.0;169.0;3.0;3.0
35;5.0;171.0;3;171.0;0.0;174.0;3.0;2.0
36;6.0;177.0;2;177.0;0.0;179.0;2.0;3.0
37;8.0;185.0;3;185.0;0.0;188.0;3.0;6.0
38;4.0;189.0;1;189.0;0.0;190.0;1.0;1.0
39;8.0;197.0;3;197.0;0.0;200.0;3.0;7.0
40;6.0;203.0;1;203.0;0.0;204.0;1.0;3.0
41;4.0;207.0;3;207.0;0.0;210.0;3.0;3.0
42;7.0;214.0;3;214.0;0.0;217.0;3.0;4.0
43;5.0;219.0;3;219.0;0.0;222.0;3.0;2.0
44;2.0;221.0;3;222.0;1.0;225.0;4.0;0.0
45;1.0;222.0;2;225.0;3.0;227.0;5.0;0.0
46;6.0;228.0;3;228.0;0.0;231.0;3.0;1.0
47;1.0;229.0;2;231.0;2.0;233.0;4.0;0.0
48;3.0;232.0;3;233.0;1.0;236.0;4.0;0.0
49;6.0;238.0;1;238.0;0.0;239.0;1.0;2.0
50;2.0;240.0;2;240.0;0.0;242.0;2.0;1.0
51;7.0;247.0;1;247.0;0.0;248.0;1.0;5.0
52;4.0;251.0;2;251.0;0.0;253.0;2.0;3.0
53;7.0;258.0;2;258.0;0.0;260.0;2.0;5.0
54;2.0;260.0;3;260.0;0.0;263.0;3.0;0.0
55;6.0;266.0;3;266.0;0.0;269.0;3.0;3.0
56;5.0;271.0;3;271.0;0.0;274.0;3.0;2.0
57;7.0;278.0;2;278.0;0.0;280.0;2.0;4.0
58;7.0;285.0;1;285.0;0.0;286.0;1.0;5.0
59;5.0;290.0;1;290.0;0.0;291.0;1.0;4.0
60;6.0;296.0;1;296.0;0.0;297.0;1.0;5.0
61;2.0;298.0;2;298.0;0.0;300.0;2.0;1.0
62;6.0;304.0;3;304.0;0.0;307.0;3.0;4.0
63;5.0;309.0;2;309.0;0.0;311.0;2.0;2.0
64;8.0;317.0;2;317.0;0.0;319.0;2.0;6.0
65;5.0;322.0;1;322.0;0.0;323.0;1.0;3.0
66;6.0;328.0;3;328.0;0.0;331.0;3.0;5.0
67;1.0;329.0;3;331.0;2.0;334.0;5.0;0.0
68;7.0;336.0;3;336.0;0.0;339.0;3.0;2.0
69;8.0;344.0;2;344.0;0.0;346.0;2.0;5.0
70;2.0;346.0;3;346.0;0.0;349.0;3.0;0.0
71;5.0;351.0;3;351.0;0.0;354.0;3.0;2.0
72;2.0;353.0;3;354.0;1.0;357.0;4.0;0.0
73;3.0;356.0;2;357.0;1.0;359.0;3.0;0.0
74;4.0;360.0;2;360.0;0.0;362.0;2.0;1.0
75;5.0;365.0;2;365.0;0.0;367.0;2.0;3.0
76;6.0;371.0;2;371.0;0.0;373.0;2.0;4.0
77;6.0;377.0;3;377.0;0.0;380.0;3.0;4.0
78;4.0;381.0;1;381.0;0.0;382.0;1.0;1.0
79;1.0;382.0;3;382.0;0.0;385.0;3.0;0.0
80;7.0;389.0;3;389.0;0.0;392.0;3.0;4.0
81;1.0;390.0;3;392.0;2.0;395.0;5.0;0.0
82;7.0;397.0;3;397.0;0.0;400.0;3.0;2.0
83;7.0;404.0;2;404.0;0.0;406.0;2.0;4.0
84;8.0;412.0;2;412.0;0.0;414.0;2.0;6.0
85;7.0;419.0;3;419.0;0.0;422.0;3.0;5.0
86;6.0;425.0;2;425.0;0.0;427.0;2.0;3.0
87;7.0;432.0;1;432.0;0.0;433.0;1.0;5.0
88;1.0;433.0;3;433.0;0.0;436.0;3.0;0.0
89;2.0;435.0;2;436.0;1.0;438.0;3.0;0.0
90;5.0;440.0;3;440.0;0.0;443.0;3.0;2.0
91;1.0;441.0;2;443.0;2.0;445.0;4.0;0.0
92;8.0;449.0;3;449.0;0.0;452.0;3.0;4.0
93;1.0;450.0;3;452.0;2.0;455.0;5.0;0.0
94;2.0;452.0;1;455.0;3.0;456.0;4.0;0.0
95;3.0;455.0;3;456.0;1.0;459.0;4.0;0.0
